level,rho_target,pair,label,d_gap,resolved,verdict
1,0.8,CAP-G300 - FIXSEL-G300,"capped relative vs the selected fixed budget, equal grids, G = 300 s","0.099 [0.056,0.157]",True,CAP-G300 better
1,0.8,CAP-G300 - FIX-G300,"capped relative vs the equal-promise fixed budget B0 = Bmax, G = 300 s","-0.025 [-0.033,-0.019]",True,FIX-G300 better
1,0.8,HYB-G300 - CAP-G300,"hybrid (queue-length term) vs capped, G = 300 s","0.016 [0.008,0.026]",True,HYB-G300 better
1,0.8,HYB-G300 - FIXSEL-G300,"hybrid vs the selected fixed budget, G = 300 s","0.115 [0.074,0.172]",True,HYB-G300 better
1,0.8,FIXSEL-G300 - FIX-G300,"selected fixed budget vs B0 = Bmax, G = 300 s","-0.124 [-0.181,-0.082]",True,FIX-G300 better
1,0.8,CAP-G300 - SPJF-tweedie,"guard vs unguarded, G = 300 s","-0.149 [-0.192,-0.123]",True,SPJF-tweedie better
1,0.8,CAP-G300 - SKIP-G300,"capped relative vs finite skip, G = 300 s","0.734 [0.692,0.754]",True,CAP-G300 better
1,0.8,CAP-G600 - FIXSEL-G600,"capped relative vs the selected fixed budget, equal grids, G = 600 s","0.028 [0.020,0.039]",True,CAP-G600 better
1,0.8,CAP-G600 - FIX-G600,"capped relative vs the equal-promise fixed budget B0 = Bmax, G = 600 s","-0.005 [-0.009,-0.001]",True,FIX-G600 better
1,0.8,HYB-G600 - CAP-G600,"hybrid (queue-length term) vs capped, G = 600 s","-0.002 [-0.005,0.002]",False,unresolved
1,0.8,HYB-G600 - FIXSEL-G600,"hybrid vs the selected fixed budget, G = 600 s","0.026 [0.018,0.038]",True,HYB-G600 better
1,0.8,FIXSEL-G600 - FIX-G600,"selected fixed budget vs B0 = Bmax, G = 600 s","-0.032 [-0.044,-0.025]",True,FIX-G600 better
1,0.8,CAP-G600 - SPJF-tweedie,"guard vs unguarded, G = 600 s","-0.048 [-0.058,-0.037]",True,SPJF-tweedie better
1,0.8,CAP-G600 - SKIP-G600,"capped relative vs finite skip, G = 600 s","0.829 [0.798,0.846]",True,CAP-G600 better
1,0.8,CAP-G1200 - FIXSEL-G1200,"capped relative vs the selected fixed budget, equal grids, G = 1200 s","0.017 [0.011,0.023]",True,CAP-G1200 better
1,0.8,CAP-G1200 - FIX-G1200,"capped relative vs the equal-promise fixed budget B0 = Bmax, G = 1200 s","0.002 [-0.000,0.004]",False,unresolved
1,0.8,HYB-G1200 - CAP-G1200,"hybrid (queue-length term) vs capped, G = 1200 s","-0.017 [-0.023,-0.012]",True,CAP-G1200 better
1,0.8,HYB-G1200 - FIXSEL-G1200,"hybrid vs the selected fixed budget, G = 1200 s","0.000 [-0.006,0.005]",False,unresolved
1,0.8,FIXSEL-G1200 - FIX-G1200,"selected fixed budget vs B0 = Bmax, G = 1200 s","-0.016 [-0.020,-0.011]",True,FIX-G1200 better
1,0.8,CAP-G1200 - SPJF-tweedie,"guard vs unguarded, G = 1200 s","-0.022 [-0.027,-0.016]",True,SPJF-tweedie better
1,0.8,CAP-G1200 - SKIP-G1200,"capped relative vs finite skip, G = 1200 s","0.841 [0.778,0.864]",True,CAP-G1200 better
1,0.8,CAP-G600-reversed - SPJF-reversed,guard vs unguarded under the reversed predictor,"-0.051 [-0.112,0.016]",False,unresolved
1,0.8,CAP-G600-random - SPJF-random,guard vs unguarded under the random predictor,"-0.115 [-0.155,-0.079]",True,SPJF-random better
1,0.8,CAP-G600-top1short - SPJF-top1short,guard vs unguarded under the top1short predictor,"-0.116 [-0.145,-0.079]",True,SPJF-top1short better
2,1.0,SPJF-tweedie - SPJF-M4,ranking score: Tweedie vs log M4,"0.019 [0.011,0.024]",True,SPJF-tweedie better
2,1.0,SPJF-M4refit - SPJF-M4,refit-noise control,"-0.000 [-0.001,0.000]",False,unresolved
2,1.0,SPJF-r1s - SPJF-tweedie,R1S-Tweedie vs Tweedie,"0.001 [-0.002,0.006]",False,unresolved
2,1.0,CAP-G300 - FIXSEL-G300,"capped relative vs the selected fixed budget, equal grids, G = 300 s","0.261 [0.204,0.283]",True,CAP-G300 better
2,1.0,CAP-G300 - FIX-G300,"capped relative vs the equal-promise fixed budget B0 = Bmax, G = 300 s","0.025 [-0.024,0.033]",False,unresolved
2,1.0,HYB-G300 - CAP-G300,"hybrid (queue-length term) vs capped, G = 300 s","-0.026 [-0.035,0.009]",False,unresolved
2,1.0,HYB-G300 - FIXSEL-G300,"hybrid vs the selected fixed budget, G = 300 s","0.234 [0.183,0.272]",True,HYB-G300 better
2,1.0,FIXSEL-G300 - FIX-G300,"selected fixed budget vs B0 = Bmax, G = 300 s","-0.236 [-0.281,-0.187]",True,FIX-G300 better
2,1.0,CAP-G300 - SPJF-tweedie,"guard vs unguarded, G = 300 s","-0.442 [-0.534,-0.316]",True,SPJF-tweedie better
2,1.0,CAP-G300 - SKIP-G300,"capped relative vs finite skip, G = 300 s","0.473 [0.378,0.598]",True,CAP-G300 better
2,1.0,CAP-G600 - FIXSEL-G600,"capped relative vs the selected fixed budget, equal grids, G = 600 s","0.119 [0.072,0.179]",True,CAP-G600 better
2,1.0,CAP-G600 - FIX-G600,"capped relative vs the equal-promise fixed budget B0 = Bmax, G = 600 s","-0.013 [-0.018,-0.008]",True,FIX-G600 better
2,1.0,HYB-G600 - CAP-G600,"hybrid (queue-length term) vs capped, G = 600 s","-0.007 [-0.013,-0.002]",True,CAP-G600 better
2,1.0,HYB-G600 - FIXSEL-G600,"hybrid vs the selected fixed budget, G = 600 s","0.111 [0.063,0.173]",True,HYB-G600 better
2,1.0,FIXSEL-G600 - FIX-G600,"selected fixed budget vs B0 = Bmax, G = 600 s","-0.131 [-0.189,-0.085]",True,FIX-G600 better
2,1.0,CAP-G600 - SPJF-tweedie,"guard vs unguarded, G = 600 s","-0.116 [-0.143,-0.077]",True,SPJF-tweedie better
2,1.0,CAP-G600 - SKIP-G600,"capped relative vs finite skip, G = 600 s","0.797 [0.763,0.839]",True,CAP-G600 better
2,1.0,CAP-G1200 - FIXSEL-G1200,"capped relative vs the selected fixed budget, equal grids, G = 1200 s","0.044 [0.028,0.058]",True,CAP-G1200 better
2,1.0,CAP-G1200 - FIX-G1200,"capped relative vs the equal-promise fixed budget B0 = Bmax, G = 1200 s","-0.000 [-0.003,0.004]",False,unresolved
2,1.0,HYB-G1200 - CAP-G1200,"hybrid (queue-length term) vs capped, G = 1200 s","-0.043 [-0.052,-0.035]",True,CAP-G1200 better
2,1.0,HYB-G1200 - FIXSEL-G1200,"hybrid vs the selected fixed budget, G = 1200 s","0.001 [-0.015,0.016]",False,unresolved
2,1.0,FIXSEL-G1200 - FIX-G1200,"selected fixed budget vs B0 = Bmax, G = 1200 s","-0.045 [-0.058,-0.028]",True,FIX-G1200 better
2,1.0,CAP-G1200 - SPJF-tweedie,"guard vs unguarded, G = 1200 s","-0.045 [-0.055,-0.029]",True,SPJF-tweedie better
2,1.0,CAP-G1200 - SKIP-G1200,"capped relative vs finite skip, G = 1200 s","0.870 [0.845,0.893]",True,CAP-G1200 better
2,1.0,CAP-G600-reversed - SPJF-reversed,guard vs unguarded under the reversed predictor,"0.048 [-0.020,0.172]",False,unresolved
2,1.0,CAP-G600-random - SPJF-random,guard vs unguarded under the random predictor,"-0.292 [-0.329,-0.242]",True,SPJF-random better
2,1.0,CAP-G600-top1short - SPJF-top1short,guard vs unguarded under the top1short predictor,"-0.086 [-0.119,0.036]",False,unresolved
