level,pair,label,d_gap,resolved,verdict
2,SKIP-G600 - SPJF-tweedie,finite skip vs unguarded at G = 600 s,"-0.914 [-0.929,-0.891]",True,SPJF-tweedie better
2,CAP-G600 - SKIP-G600,capped relative vs finite skip at G = 600 s,"0.797 [0.763,0.839]",True,CAP-G600 better
2,SKIP-G600 - SKIPC-G600,"finite skip: dispatch vs completion charge, G = 600 s","-0.000 [-0.000,0.001]",False,unresolved
2,CAP-G1200 - FIXSEL-G1200,"capped relative vs the BEST FEASIBLE fixed budget, G = 1200 s","0.422 [0.268,0.498]",True,CAP-G1200 better
2,CAP-G1200 - FIX-G1200,capped relative vs B0 = Bmax at G = 1200 s,"-0.000 [-0.001,0.002]",False,unresolved
2,CAP-G1200 - SPJF-tweedie,"guard vs unguarded, G = 1200 s","-0.044 [-0.056,-0.028]",True,SPJF-tweedie better
2,SKIP-G1200 - SPJF-tweedie,finite skip vs unguarded at G = 1200 s,"-0.914 [-0.932,-0.889]",True,SPJF-tweedie better
2,CAP-G1200 - SKIP-G1200,capped relative vs finite skip at G = 1200 s,"0.870 [0.844,0.895]",True,CAP-G1200 better
2,SKIP-G1200 - SKIPC-G1200,"finite skip: dispatch vs completion charge, G = 1200 s","-0.000 [-0.001,0.001]",False,unresolved
2,CAP-G600-reversed - SPJF-reversed,guard vs unguarded under the reversed predictor,"0.048 [-0.020,0.172]",False,unresolved
2,CAP-G600-random - SPJF-random,guard vs unguarded under the random predictor,"-0.292 [-0.329,-0.242]",True,SPJF-random better
2,CAP-G600-top1short - SPJF-top1short,guard vs unguarded under the top1short predictor,"-0.086 [-0.119,0.036]",False,unresolved
